,address,lat,long
0,"Wallich Street, Singapore",1.2768934719622607,103.84445782929865
1,"Claymore Drive, Singapore",1.307183281195904,103.82951494950314
2,"Paya Lebar Road, Singapore",1.3333343386056902,103.88861632290003
3,"Orchard Boulevard, Singapore",1.3044099853032676,103.8297984755598
4,"Guillemard Road, Singapore",1.310916707150167,103.88425819102845
5,"Sims Avenue, Singapore",1.3160621422010523,103.88785072165165
6,"West Coast Vale, Singapore",1.31152000000003,103.75963000000007
7,"Oxley Rise, Singapore",1.2970148285833927,103.84310990453162
8,"Pasir Ris Grove, Singapore",1.3719997019260144,103.9448006739876
9,"Beach Road, Singapore",1.2984684054481868,103.8581001983291
10,"Handy Road, Singapore",1.2995853410236504,103.84648872462901
11,"Scotts Road, Singapore",1.3098205396712679,103.83414487491372
12,"Tampines Street , Singapore",1.3681900000000269,103.92948000000007
13,"Leedon Heights, Singapore",1.3145208610797399,103.80218023238024
14,"Dakota Crescent, Singapore",1.3068483350353746,103.88746612979288
15,"Tanglin Road, Singapore",1.3020637832871709,103.81951711121205
16,"Khiang Guan Avenue, Singapore",1.3166140793771153,103.84333733644559
17,"Hougang Street , Singapore",1.371240000000057,103.89162000000005
18,"Alexandra Road, Singapore",1.2918838475436416,103.80865109257064
19,"Saint Thomas Walk, Singapore",1.2979175332392952,103.83577712640017
20,"Meyer Road, Singapore",1.29891805364394,103.88592515518688
21,"Martin Place, Singapore",1.2933505425664364,103.83845165084975
22,"Cairnhill Circle, Singapore",1.3066329990700398,103.83996913292589
23,"Mount Elizabeth, Singapore",1.3052099699951747,103.83591962581971
24,"Evelyn Road, Singapore",1.3163079158875746,103.83986152150098
25,"Pasir Panjang Road, Singapore",1.2731152630621863,103.80201626844215
26,"Peck Hay Road, Singapore",1.3087694325673518,103.83940211463208
27,"Siglap Link, Singapore",1.3076516514346672,103.92866915032532
28,"Mosque Street, Singapore",1.28381895659669,103.8447615056507
29,"Nassim Road, Singapore",1.3140424317305257,103.81864761261268
30,"Kitchener Link, Singapore",1.3116709529717046,103.85719995667256
31,"Shenton Way, Singapore",1.276169269752845,103.84819184584126
32,"Prince Charles Crescent, Singapore",1.2928598097510806,103.81882969591197
33,"Marina Way, Singapore",1.279091584160497,103.85511202451545
34,"Spottiswoode Park Road, Singapore",1.2737884121432461,103.83613070614419
35,"Delta Road, Singapore",1.2917600000000675,103.82594000000006
36,"Cairnhill Road, Singapore",1.302996890012094,103.83778496026675
37,"Gopeng Street, Singapore",1.2754717353614207,103.84458509464531
38,"Fraser Street, Singapore",1.2998810284594497,103.85795158480082
39,"Ardmore Park, Singapore",1.309505236013564,103.82922179243957
40,"Changi Road, Singapore",1.3174571366625232,103.90425278104827
41,"Bedok South Avenue , Singapore",1.315109111861853,103.93343937974534
42,"Killiney Road, Singapore",1.2983371319838246,103.83888588635482
43,"Anthony Road, Singapore",1.3104983515396462,103.8377174448481
44,"Nathan Road, Singapore",1.2985813162783277,103.82469809216136
45,"River Valley Road, Singapore",1.2926561447627156,103.84425053782086
46,"Guan Chuan Street, Singapore",1.28285095139787,103.83162139379078
47,"Sims Drive, Singapore",1.3187407465953567,103.88163059589941
48,"Angullia Park, Singapore",1.3041735524102984,103.82978897894724
49,"Serangoon North View, Singapore",1.3540500000000293,103.87252000000007
50,"Bassein Road, Singapore",1.323307092094413,103.84810436170478
51,"Lincoln Road, Singapore",1.3151240239676572,103.84281820000376
52,"Newton Road, Singapore",1.3201366214191008,103.84213219307804
53,"Bayshore Road, Singapore",1.312534973074021,103.94041746646583
54,"Marina Boulevard, Singapore",1.278053357073952,103.85837926870143
55,"River Valley Close, Singapore",1.2943386122753775,103.83720672975763
56,"Prinsep Link, Singapore",1.3001130737355415,103.85068482079544
57,"One, Singapore",1.2904100000000653,103.85211000000004
58,"Marine Parade Road, Singapore",1.3066755428158583,103.9146982774336
59,"Lorong H Telok Kurau, Singapore",1.3162290022851817,103.91052422671895
60,"Holland Road, Singapore",1.323304662494512,103.78498488333028
61,"Lorong , Singapore",1.3130710231087972,103.91172172660715
62,"Joo Chiat Place, Singapore",1.314348406071443,103.90680162159605
63,"Grange Road, Singapore",1.300998288925356,103.83661423946997
64,"Mackenzie Road, Singapore",1.3058150445170646,103.84808244587182
65,"Amber Road, Singapore",1.3004917764362296,103.90085759516337
66,"Upper East Coast Road, Singapore",1.3142033706247012,103.93451555767805
67,"East Coast Road, Singapore",1.3096363499339887,103.91580970208895
68,"Havelock Road, Singapore",1.2879434036321957,103.84273888893327
69,"Liang Seah Street, Singapore",1.2980372727988267,103.85640078668654
70,"Mccallum Street, Singapore",1.279061572735824,103.84836887594592
71,"Lorong M Telok Kurau, Singapore",1.310897039313024,103.91213417373488
72,"Saint Martin, Singapore",1.409753002608256,103.8741163164181
73,"Lorong K Telok Kurau, Singapore",1.3130710231087972,103.91172172660715
74,"Race Course Road, Singapore",1.3146017203329297,103.85653723047238
75,"Teow Hock Avenue, Singapore",1.3620886421540765,103.87977275956337
76,"Boon Lay Drive, Singapore",1.343108796178946,103.71164082190344
77,"Upper Serangoon Road, Singapore",1.3754038449106119,103.90117793598408
78,"Fort Road, Singapore",1.3006307702980138,103.88549768081191
79,"Jurong Lake Link, Singapore",1.3419400000000223,103.72639000000004
80,"South Buona Vista Road, Singapore",1.286906462507942,103.78494234415402
81,"Enggor Street, Singapore",1.2742408585785456,103.84475541372497
82,"Ang Mo Kio Avenue , Singapore",1.3670038236613449,103.85087231773161
83,"Emerald Hill Road, Singapore",1.3037078438438567,103.83956722672656
84,"Lorong Lew Lian, Singapore",1.3508961920310736,103.87629050191512
85,"Devonshire Road, Singapore",1.299458476823455,103.83744867182773
86,"Tanah Merah Kechil Avenue, Singapore",1.3295819961478665,103.94610120824562
87,"Flora Drive, Singapore",1.3568073783117185,103.96523517361
88,"Bishan Street , Singapore",1.3453172151191823,103.8458227133918
89,"Woodleigh Close, Singapore",1.3356884482289417,103.86888779182301
90,"Shelford Road, Singapore",1.3262395799747893,103.81049645310756
91,"Kovan Road, Singapore",1.3589375358140958,103.8817127940839
92,"Mergui Road, Singapore",1.3172214127388249,103.85210117584013
93,"Lorong Marzuki, Singapore",1.319978123259925,103.90937224014957
94,"Kim Keat Lane, Singapore",1.3240518123210923,103.8536040030058
95,"Margate Road, Singapore",1.2990119981867638,103.88888248333478
