pk,category,subid,main_category
0,Japanese Restaurant,4bf58dd8d48988d111941735,Food
0,Coffee Shop,4bf58dd8d48988d1e0931735,Food
0,Dessert Shop,4bf58dd8d48988d1d0941735,Food
0,Coffee Shop,4bf58dd8d48988d1e0931735,Food
0,Hotel,4bf58dd8d48988d1fa931735,Not A Match
0,Gym / Fitness Center,4bf58dd8d48988d175941735,Outdoors & Recreation
0,Ramen Restaurant,55a59bace4b013909087cb24,Food
0,Kebab Restaurant,5283c7b4e4b094cb91ec88d7,Food
0,Bakery,4bf58dd8d48988d16a941735,Food
0,Café,4bf58dd8d48988d16d941735,Food
0,Hotel,4bf58dd8d48988d1fa931735,Not A Match
0,Spanish Restaurant,4bf58dd8d48988d150941735,Food
0,Bar,4bf58dd8d48988d116941735,Nightlife Spot
0,Gym / Fitness Center,4bf58dd8d48988d175941735,Outdoors & Recreation
0,Sports Club,52e81612bcbc57f1066b7a2e,Outdoors & Recreation
0,Ramen Restaurant,55a59bace4b013909087cb24,Food
0,BBQ Joint,4bf58dd8d48988d1df931735,Food
0,Bagel Shop,4bf58dd8d48988d179941735,Food
0,Japanese Restaurant,4bf58dd8d48988d111941735,Food
0,Sushi Restaurant,4bf58dd8d48988d1d2941735,Food
0,Tapas Restaurant,4bf58dd8d48988d1db931735,Food
0,Gym / Fitness Center,4bf58dd8d48988d175941735,Outdoors & Recreation
0,Korean Restaurant,4bf58dd8d48988d113941735,Food
0,Bookstore,4bf58dd8d48988d114951735,Shop & Service
0,Bakery,4bf58dd8d48988d16a941735,Food
0,Discount Store,52dea92d3cf9994f4e043dbb,Shop & Service
0,Coffee Shop,4bf58dd8d48988d1e0931735,Food
0,Seafood Restaurant,4bf58dd8d48988d1ce941735,Food
0,Japanese Restaurant,4bf58dd8d48988d111941735,Food
0,Coffee Shop,4bf58dd8d48988d1e0931735,Food
1,Hotel,4bf58dd8d48988d1fa931735,Not A Match
1,Hotel,4bf58dd8d48988d1fa931735,Not A Match
1,Boutique,4bf58dd8d48988d104951735,Shop & Service
1,Chinese Restaurant,4bf58dd8d48988d145941735,Food
1,Nail Salon,4f04aa0c2fb6e1c99f3db0b8,Shop & Service
1,Café,4bf58dd8d48988d16d941735,Food
1,Japanese Restaurant,4bf58dd8d48988d111941735,Food
1,Japanese Restaurant,4bf58dd8d48988d111941735,Food
1,French Restaurant,4bf58dd8d48988d10c941735,Food
1,Gym,4bf58dd8d48988d176941735,Outdoors & Recreation
1,Ice Cream Shop,4bf58dd8d48988d1c9941735,Food
1,Hotel,4bf58dd8d48988d1fa931735,Not A Match
1,Hotel,4bf58dd8d48988d1fa931735,Not A Match
1,Bakery,4bf58dd8d48988d16a941735,Food
1,Supermarket,52f2ab2ebcbc57f1066b8b46,Shop & Service
1,Miscellaneous Shop,4bf58dd8d48988d1ff941735,Shop & Service
1,Japanese Restaurant,4bf58dd8d48988d111941735,Food
1,Japanese Restaurant,4bf58dd8d48988d111941735,Food
1,Hotel,4bf58dd8d48988d1fa931735,Not A Match
1,Speakeasy,4bf58dd8d48988d1d4941735,Nightlife Spot
1,Cosmetics Shop,4bf58dd8d48988d10c951735,Shop & Service
1,Dim Sum Restaurant,4bf58dd8d48988d1f5931735,Food
