amenities,built_year,detailed_address,developer,district,facing,floor_level,furnishing,link,mrt_distance,mrt_name,name,neighbourhood,overlooking_view,picture_url,price/sqft,price_month,property_type,sqft,tenure,total_units,unit_types,bedrooms,bathrooms
"['Penthouse', 'Stove', 'Library', 'Walk in closet', 'Jacuzzi', 'Oven', 'Renovated', 'Closet', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2016,3 Wallich Street,Guocoland Limited,Chinatown / Tanjong Pagar (D2),North South,High (64 total),Fully,https://www.99.co/singapore/rent/property/wallich-residence-condo-PXrgNA4e5FtibJF7KayBte#enquiry_position_1#enquiry_source_Search,5 min (75 m) from ,Tanjong Pagar MRT,Wallich Residence,None,Pool view,https://pic.99.co/v3/GkrtLkrfYpXDLrZQVeHtp2?width=2400&mode=fill&text=Tracy+Chen&sampling=lanczos&quality=80&version=1&signature=8c7d0720fe440738d6460bc707392bf9e10ba422,$10.53 psf,"$6,800/mo",Condo Whole Unit,646,99 Years,181,"Studio, 1, 2, 3, 4, 5 BR",1,1
"['Bathtub', 'Renovated', 'Aircon', 'Maid room', 'Sofa', 'Stove', 'Fridge', 'Closet', 'Tv', 'Utility room', 'Dryer', 'Study room', 'Oven', 'Dining room furniture', 'High floor', 'Washer', 'Fibre ready', 'Balcony']",1970,1 Claymore Drive,,Orchard / River Valley (D9),,High,Partial,https://www.99.co/singapore/rent/property/orchard-towers-condo-k8pCMoMk5h3UiHg455bAWa#enquiry_position_2#enquiry_source_Search,10 min (478 m) from ,Orchard MRT,Orchard Towers,Orchard,,https://pic.99.co/v3/C8G5McHGEiEzGnQ6Y53vm5?width=2400&mode=fill&text=Tan+Freya+Fran&sampling=lanczos&quality=80&version=1&signature=ce6123fd96231c75861f22cd1374de5424209876,$2.54 psf,"$5,000/mo",Condo Whole Unit,"1,970",Freehold,58,"1, 3, 4, 5, 7 BR",4,4
"['High floor', 'Fibre ready', 'Bed', 'Aircon', 'Fridge']",2014,11 Paya Lebar Road,,Eunos / Geylang / Paya Lebar (D14),,High,Fully,https://www.99.co/singapore/rent/property/lotus-at-paya-lebar-east-wing-condo-kWd4t8SKcRkHW4J6qTZh4T#enquiry_position_3#enquiry_source_Search,5 min (304 m) from ,Paya Lebar MRT,Lotus at Paya Lebar (East Wing),Geylang,,https://pic.99.co/v3/8PkmKz5KxMTt8ZSLkS7sxS?width=2400&mode=fill&text=Barry+Tan&sampling=lanczos&quality=80&version=1&signature=ea5682bb3fa9c3712fcfd705e1f74c3a7341f58e,$7.26 psf,"$2,620/mo",Condo Whole Unit,361,Freehold,99,"Studio, 1, 2, 3, 4 BR",1,1
"['Lounge', 'Pool deck', 'Pavilion', 'Security', 'Greenery view', 'Open terrace', 'Library', 'Concierge', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Fountain', 'Parking', 'High floor', 'Outdoor dining', 'Gym', 'Balcony']",2017,3 Orchard Boulevard,,Tanglin / Holland (D10),,High (25 total),Partial,https://www.99.co/singapore/rent/property/3-orchard-bythepark-condo-deKKATrx39mfWin8XtpupP#enquiry_position_4#enquiry_source_Search,15 min (1177 m) from ,Orchard MRT,3 Orchard By-The-Park,Orchard,Greenery view,https://pic.99.co/v3/RSkTBSTA6UARU7eMmaUsMQ?width=2400&mode=fill&text=Jerry+Poh&sampling=lanczos&quality=80&version=1&signature=60e01c32c719ae3bffcf55fcc7ea09239ec7ac28,$7.52 psf,"$14,000/mo",Condo Whole Unit,"1,862",Freehold,77,"2, 3, 4, 5 BR",3,3
"['Audio system', 'Aircon', 'Tv', 'Sofa', 'Greenery view', 'Timber deck', 'Fridge', 'Bed', 'Jacuzzi', 'Swimming pool', 'Wading pool', 'Dryer', 'Oven', 'Dining room furniture', 'Washer', 'Corner unit', 'Gym', 'Bbq']",2017,213 Guillemard Road,Mk25 Pte Ltd,Eunos / Geylang / Paya Lebar (D14),,,Fully,https://www.99.co/singapore/rent/property/guillemard-suites-condo-W2CBDMjdvodnZMoGn3xQ3d#enquiry_position_5#enquiry_source_Search,10 min (513 m) from ,Mountbatten MRT,Guillemard Suites,Geylang,Greenery view,https://pic.99.co/v3/S5QD3qwg6XrUTYQHJi4nJC?width=1200&mode=fill&text=Chris+chow&sampling=lanczos&quality=80&version=1&signature=c45116f140442d0904fbe236aa88051f7b16213a,$4.89 psf,"$3,000/mo",Apartment Whole Unit,614,Freehold,146,"Studio, 1, 2, 3 BR",2,2
"['City view', 'Security', 'Renovated', 'Aircon', 'Tv', 'Sofa', 'Stove', 'Jacuzzi', 'Fridge', 'Bed', 'Walk in closet', 'Swimming pool', 'Dryer', 'Playground', 'Parking', 'Washer', 'Bomb shelter', 'Gym', 'Bbq', 'Balcony']",2015,455 Sims Avenue,Fission Capital Pte. Ltd.,Eunos / Geylang / Paya Lebar (D14),,,Fully,https://www.99.co/singapore/rent/property/centra-heights-condo-QYCsgsgUgQVw5PnFcMtsij#enquiry_position_6#enquiry_source_Search,10 min (397 m) from ,Aljunied MRT,Centra Heights,Geylang,City view,https://pic.99.co/v3/khmy59ZsKd97rgwoDiFfSk?width=2400&mode=fill&text=Mae+Ho&sampling=lanczos&quality=80&version=1&signature=c1f4554cae1f8cb966bbb5ca0155bfda10668d74,$5.8 psf,"$2,500/mo",Condo Whole Unit,431,Freehold,90,"1, 2 BR",1,1
"['Roof terrace', 'Stove', 'Sea view', 'Oven', 'Balcony', 'Bomb shelter', 'Renovated', 'Closet', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2021,91 West Coast Vale,China Construction Development Co. Pte Ltd,Buona Vista / West Coast / Clementi (D5),North South,High (36 total),Flexible,https://www.99.co/singapore/rent/property/twin-vew-condo-evyfmbt3Tm9hGiRT5kEqBo#enquiry_position_7#enquiry_source_Search,,,Twin VEW,Clementi,Pool view,https://pic.99.co/v3/riNnP3iSjZkGFSbLxkKD5b?width=1200&mode=fill&text=Jess+Yam&sampling=lanczos&quality=80&version=1&signature=e3ea248681dafccf263303b18fee35497971ddb2,$4.42 psf,"$4,000/mo",Condo Whole Unit,904,99 Years,520,"Studio, 1, 2, 3, 4, 5, 6 BR",3,2
"['Closet', 'Aircon', 'Tv', 'Sofa', 'Fridge', 'Bed', 'Swimming pool', 'Dryer', '', '', '', '', '', '', '']",1997,9 Oxley Rise,Tuan Sing Holdings,Orchard / River Valley (D9),,Mid (9 total),Partial,https://www.99.co/singapore/rent/property/the-oxley-condo-53JkqKR3zT2imgvdGeAEDm#enquiry_position_8#enquiry_source_Search,10 min (416 m) from ,Dhoby Ghaut MRT,The Oxley,None,,https://pic.99.co/v3/jGu2eeUByFSbwgjRZCv8H7?width=2400&mode=fill&text=Kew+Lydia&sampling=lanczos&quality=80&version=1&signature=e265d9b1b42f02f26fae49570395cacffeae0d9d,$4.31 psf,"$3,200/mo",Condo Whole Unit,743,Freehold,39,"1, 2 BR",1,1
"['Clubhouse', 'Fitness corner', 'Renovated', 'Aircon', 'Gym', 'Fridge', 'Steam room', 'Oven', '', '', '', '', '', '']",2017,149 Pasir Ris Grove,Hong Realty (Private) Limited,Pasir Ris / Tampines (D18),North,,Partial,https://www.99.co/singapore/rent/property/dnest-condo-BxCBgaPNC4wtpqXxD6gNHX#enquiry_position_9#enquiry_source_Search,15 min (872 m) from ,Pasir Ris MRT,D'nest,Pasir Ris,,https://pic.99.co/v3/FBCeHm3Q4imoL4k4RjMUUZ?width=2400&mode=fill&text=BENJAMIN+POH+Y+M&sampling=lanczos&quality=80&version=1&signature=29be489ea7a48ba170960ba51f7edabf9a7403dd,$3.59 psf,"$3,400/mo",Condo Whole Unit,947,99 Years,912,"Studio, 1, 2, 3, 4, 5 BR",3,2
"['City view', 'Function room', 'Renovated', 'Aircon', 'Stove', 'Fridge', 'Swimming pool', 'Wading pool', '', '', '', '', '', '', '']",2016,28 Beach Road,City Developments,Beach Road / Bugis / Rochor (D7),,High (45 total),Partial,https://www.99.co/singapore/rent/property/south-beach-residences-condo-nWguXJKovJPYFGgtSs8Xq4#enquiry_position_10#enquiry_source_Search,5 min (127 m) from ,Esplanade MRT,South Beach Residences,None,City view,https://pic.99.co/v3/bYaR6WatwAUHybgLgEbmiT?width=2400&mode=fill&text=Franc+Ho&sampling=lanczos&quality=80&version=1&signature=294bb6ab6ce2badbae963c0c868e46083578cf07,$9.76 psf,"$23,000/mo",Condo Whole Unit,"2,357",99 Years,171,"2, 3, 4, 5 BR",4,4
